id,periodo,titolo,fonte,url,lettura,utilita
ctsp-fondo,1981-2003,Il fondo CTSP e il suo inventario,ctsp-archivio,https://www.rgs.mef.gov.it/VERSIONE-I/ragioneria_generale/biblioteca_luca_pacioli/commissione_tecnica_per_la_spesa_pubblica/index.html,Catalogo consultato,Circa 630 documenti descritti dalla RGS. Il catalogo segnala lacune per gli anni 1984-1987: non prova che in quel periodo non sia stato prodotto alcun lavoro.
ctsp-1,1982-1991,Osservazioni e raccomandazioni,ctsp-archivio,https://www.rgs.mef.gov.it/VERSIONE-I/ragioneria_generale/biblioteca_luca_pacioli/commissione_tecnica_per_la_spesa_pubblica/index.html,Volume censito nel catalogo,Punto d’accesso alle raccomandazioni della commissione. Contenuto integrale non rianalizzato in questa edizione.
ctsp-2,1992-1995,Razionalizzazione e contenimento della spesa pubblica,ctsp-archivio,https://www.rgs.mef.gov.it/VERSIONE-I/ragioneria_generale/biblioteca_luca_pacioli/commissione_tecnica_per_la_spesa_pubblica/index.html,Volume censito nel catalogo,Punto d’accesso alle raccomandazioni della commissione. Contenuto integrale non rianalizzato in questa edizione.
ctsp-3,1996-2000,"Riforma dell’azione pubblica: vincoli, mandato politico e obiettivi di efficienza",ctsp-archivio,https://www.rgs.mef.gov.it/VERSIONE-I/ragioneria_generale/biblioteca_luca_pacioli/commissione_tecnica_per_la_spesa_pubblica/index.html,Volume censito nel catalogo,Punto d’accesso alle raccomandazioni della commissione. Contenuto integrale non rianalizzato in questa edizione.
ctfp,2008,Rapporto sulla revisione della spesa di cinque ministeri,ctfp-2008,https://www.edscuola.it/archivio/handicap/rapporto_revisione_spesa_pubblica_08.pdf,Testo originale su copia,Esperimento settoriale: non è una verifica di tutta la pubblica amministrazione.
giarda,2012,Elementi per una revisione della spesa pubblica,giarda-2012,https://www.camera.it/temiap/temi17/Revisione_spesa_Rapporto%20Giarda%208%20maggio%202012.pdf,Testo originale consultato,"Distingue spreco produttivo, costo dei servizi e scelte politiche. I 295 miliardi sono la base di spesa esaminabile, non il risparmio."
giarda-settori,2013,Analisi di alcuni settori di spesa pubblica,camera-review-2014,https://www.camera.it/temiap/temi17/Giarda_rapporto_spending_marzo-2013.pdf,Descrizione istituzionale consultata,"Sicurezza, Prefetture, Province, trasferimenti alle imprese e investimenti. Documento di analisi, non piano di tagli già adottato."
bondi-siope,2012,"Consumi intermedi di Regioni, Province, Comuni, Università ed enti di ricerca",camera-review-2014,https://www.camera.it/temiap/temi17/Consumi%20intermedi%20regioni%20-%20Siope%202011.pdf,Originale collegato dal dossier Camera,Scostamenti dalla mediana. Il confronto richiede servizi e condizioni omogenei.
bondi-istat,2012,ISTAT: nota tecnica sugli acquisti dei Comuni,camera-review-2014,https://www.camera.it/temiap/temi17/ISTAT%20-%20Nota%20commissario%20-%20Allegato%202.pdf,Originale collegato dal dossier Camera,Pagamenti 2011 e valori di confronto; non una somma nazionale di frodi.
bondi-sose,2012,SOSE: analisi dell’inefficienza nella spesa degli enti locali,camera-review-2014,https://www.camera.it/temiap/temi17/Analisi%20inefficienza%20spesa%20enti.pdf,Originale collegato dal dossier Camera,Sperimentazione econometrica. Stima relativa alla base di dati e al modello.
cott-piano,2014,Cottarelli: proposte 2014-2016,cottarelli-2014,https://www.quotidiano.net/polopoly_fs/1.814693.1427871381!/menu/standard/file/cottarelli.pdf,Testo originale su copia,"Piano di interventi con risparmi lordi massimi e vincoli di attuazione; utile come mappa di temi, non come contabilità di somme oggi recuperabili."
gutgeld-relazione,2017,"Gutgeld: obiettivi, attività e risultati",gutgeld-2017,https://www.mef.gov.it/export/sites/MEF/inevidenza/documenti/Relazione_Commissario_20_Giugno_2017_.pdf,Testo originale consultato,Distingue spazi di bilancio ed efficientamento. Gli effetti annui non sono incassi cumulati.
camera-def,2018,Camera: riepilogo delle misure e della procedura,camera-review-2018,https://documenti.camera.it/leg18/dossier/Testi/DFP002a.htm,Dossier consultato,Controllo incrociato della serie 2014-2018 e delle grandezze sugli acquisti.
prassi,2022-2023,RGS: valutazione delle prassi di Salute e Giustizia,rgs-prassi-2022,https://www.rgs.mef.gov.it/VERSIONE-I/pubblicazioni/analisi_e_valutazione_della_spesa/la_revisione_della_spesa_del_bilancio_dello_stato/,Pagina di pubblicazione consultata,"Valuta la revisione 2018-2020; collegamento alla relazione e alle linee guida, non nuovo consuntivo calcolato da DVNS."
