year,code,ministry,commitmentsCpCents,paymentsCompetenceCpCents,remainingCpCents,paymentsResidualRsCents,paymentsCashCsCents,remainingRsCents,residualsEndCents,unit,source
2025,02,Economia e finanze,79490192742507,76188290643046,3301902099461,2117139074764,78305429717810,9562728483022,12864630582483,EUR_cent,rgs-ministries-2025
2025,04,Lavoro e politiche sociali,17476811906638,16937838761669,538973144969,301864201295,17239702962964,966706666575,1505679811544,EUR_cent,rgs-ministries-2025
2025,07,Istruzione e merito,5767427771393,5641114432838,126313338555,121661744287,5762776177125,306298946644,432612285199,EUR_cent,rgs-ministries-2025
2025,12,Difesa,3424763548647,3224916857734,199846690913,209106609941,3434023467675,50416615195,250263306108,EUR_cent,rgs-ministries-2025
2025,08,Interno,3383572872891,2884098609201,499474263690,471456477269,3355555086470,474699528405,974173792095,EUR_cent,rgs-ministries-2025
2025,10,Infrastrutture e trasporti,1797073015110,1097964364624,699108650486,557872367831,1655836732455,1410007166368,2109115816854,EUR_cent,rgs-ministries-2025
2025,03,Imprese e made in Italy,1545445585034,1316345466975,229100118059,169569801020,1485915267995,163907490679,393007608738,EUR_cent,rgs-ministries-2025
2025,11,Università e ricerca,1417722370912,1310608222781,107114148131,173074427690,1483682650471,114003284447,221117432578,EUR_cent,rgs-ministries-2025
2025,05,Giustizia,1151284171534,1102132303291,49151868243,44672712858,1146805016149,20578432597,69730300840,EUR_cent,rgs-ministries-2025
2025,09,Ambiente e sicurezza energetica,431447673578,310996103041,120451570537,92756362606,403752465647,147254132048,267705702585,EUR_cent,rgs-ministries-2025
2025,06,Affari esteri,358390551210,346880858506,11509692704,21793915020,368674773526,1947873841,13457566545,EUR_cent,rgs-ministries-2025
2025,14,Cultura,302106565809,241417853072,60688712737,62762233333,304180086405,120899402544,181588115281,EUR_cent,rgs-ministries-2025
2025,15,Salute,295590099216,209618786569,85971312647,17490088251,227108874820,147057283889,233028596536,EUR_cent,rgs-ministries-2025
2025,13,Agricoltura,207505985323,167529202629,39976782694,50574497544,218103700173,104579601745,144556384439,EUR_cent,rgs-ministries-2025
2025,16,Turismo,43488646498,12531306961,30957339537,12467701738,24999008699,28233778057,59191117594,EUR_cent,rgs-ministries-2025
