region,authorized_places,coverage_per_100,source_year
Piemonte,26998,33.9,2023/24
Valle d'Aosta,1017,44.3,2023/24
Liguria,9002,34.6,2023/24
Lombardia,78138,37.8,2023/24
Trentino-Alto Adige,9149,33.5,2023/24
Veneto,34589,35.6,2023/24
Friuli-Venezia Giulia,8904,40.4,2023/24
Emilia-Romagna,39874,44.4,2023/24
Toscana,27866,41.8,2023/24
Umbria,7415,48.4,2023/24
Marche,9518,34.6,2023/24
Lazio,44548,39.8,2023/24
Abruzzo,7300,29.9,2023/24
Molise,1182,23.5,2023/24
Campania,20355,15.4,2023/24
Puglia,16945,21.4,2023/24
Basilicata,2488,25.3,2023/24
Calabria,6953,17.2,2023/24
Sicilia,17201,15.5,2023/24
Sardegna,9054,38.0,2023/24
