day,survival,completion,at_risk,events,project_group,n_total,events_total
0.0,1.0,0.0,2769,0,Tutti,2769,291
74.0,0.9996384671005062,0.0003615328994938105,2766,1,Tutti,2769,291
125.0,0.9992762792501074,0.0007237207498925757,2760,1,Tutti,2769,291
175.0,0.9989118458878717,0.001088154112128259,2742,1,Tutti,2769,291
180.0,0.9985471464187634,0.0014528535812365906,2739,1,Tutti,2769,291
231.0,0.9981763528255889,0.0018236471744110805,2693,1,Tutti,2769,291
271.0,0.9977931757227768,0.002206824277223185,2605,1,Tutti,2769,291
282.0,0.9974071822312013,0.0025928177687987164,2585,1,Tutti,2769,291
287.0,0.9970196891534114,0.002980310846588563,2574,1,Tutti,2769,291
288.0,0.9966321960756215,0.0033678039243785207,2573,1,Tutti,2769,291
304.0,0.9962396666561352,0.00376033334386483,2539,1,Tutti,2769,291
332.0,0.9958262892010912,0.004173710798908825,2410,1,Tutti,2769,291
341.0,0.9954111886220162,0.004588811377983837,2399,1,Tutti,2769,291
360.0,0.9949913610435168,0.00500863895648318,2371,1,Tutti,2769,291
389.0,0.9945634077699497,0.00543659223005033,2325,1,Tutti,2769,291
396.0,0.9941350858889119,0.0058649141110881375,2322,1,Tutti,2769,291
397.0,0.9937067640078739,0.006293235992126056,2321,1,Tutti,2769,291
402.0,0.9932782574257231,0.006721742574276934,2319,1,Tutti,2769,291
403.0,0.9928497508435722,0.0071502491564278126,2318,1,Tutti,2769,291
410.0,0.9924205032210717,0.00757949677892833,2313,1,Tutti,2769,291
413.0,0.991991069857497,0.008008930142503035,2311,1,Tutti,2769,291
414.0,0.9915616364939223,0.00843836350607774,2310,1,Tutti,2769,291
424.0,0.9911314579097601,0.008868542090239906,2305,1,Tutti,2769,291
438.0,0.990700156143916,0.009299843856083956,2298,1,Tutti,2769,291
439.0,0.9902682903391453,0.009731709660854682,2294,1,Tutti,2769,291
440.0,0.9898358587713116,0.010164141228688361,2290,1,Tutti,2769,291
441.0,0.989403427203478,0.010596572796522041,2289,1,Tutti,2769,291
453.0,0.9889694783318975,0.011030521668102478,2280,1,Tutti,2769,291
