project_group,years,completion_probability,at_risk,n,events
Tutti,1,0.00500863895648318,2368,2769,291
Tutti,2,0.04371348867257718,1696,2769,291
Tutti,3,0.11664782188945455,1343,2769,291
Tutti,4,0.17923723425967708,277,2769,291
Nuova realizzazione,1,0.0,1307,1488,85
Nuova realizzazione,2,0.011199143281140689,986,1488,85
Nuova realizzazione,3,0.048721507000373476,815,1488,85
Nuova realizzazione,4,0.09643708393330075,164,1488,85
Ampliamento,1,0.018194524563944547,299,348,70
Ampliamento,2,0.09607382030801981,188,348,70
Ampliamento,3,0.24012261482457942,135,348,70
Ampliamento,4,0.38517113323954444,27,348,70
Ristrutturazione/recupero,1,0.009126893750235787,591,745,113
Ristrutturazione/recupero,2,0.09120438506195205,388,745,113
Ristrutturazione/recupero,3,0.21724401009029248,277,745,113
Ristrutturazione/recupero,4,0.2874888714187762,59,745,113
Demolizione/ricostruzione,1,0.0,113,127,8
Demolizione/ricostruzione,2,0.0,92,127,8
Demolizione/ricostruzione,3,0.05762987012987009,80,127,8
Demolizione/ricostruzione,4,0.08372627372627361,13,127,8
Altro,1,0.016393442622950838,58,61,15
Altro,2,0.12288261828190872,42,61,15
Altro,3,0.20845504576660068,36,61,15
Altro,4,0.20845504576660068,14,61,15
