cup,region,maturity,total_funding_eur,actual_start,tender_count
J81B22002560006,Lazio,Esecuzione lavori,5595840.0,2022-09-08,4
B61B22000810006,Campania,Esecuzione lavori,5484261.26,2022-09-08,2
J81B22002410007,Lazio,Esecuzione lavori,5171393.0,2022-09-08,6
F35E22000310006,Emilia-Romagna,Esecuzione lavori,5148109.0,2023-02-06,9
F65E22000230006,Liguria,Esecuzione lavori,5015700.0,2023-01-01,17
H28I22000390006,Veneto,Esecuzione lavori,4914120.31,2023-02-15,14
B31B22000410006,Liguria,Esecuzione lavori,4743323.38,2023-02-08,12
F31B22000520006,Veneto,Esecuzione lavori,4675000.0,2022-12-02,8
J85E22000120006,Puglia,Esecuzione lavori,4665910.4,2022-12-14,8
F35E22000300006,Emilia-Romagna,Esecuzione lavori,4558550.0,2022-03-31,6
G86F22000100006,Campania,Esecuzione lavori,4431535.9,2022-09-08,5
J81B22002550006,Lazio,Esecuzione lavori,4354240.0,2022-09-08,3
J81B22002240006,Emilia-Romagna,Esecuzione lavori,4344400.0,2021-12-02,7
I95E22000020006,Piemonte,Esecuzione lavori,4320000.0,2023-04-04,5
D31B22000170006,Toscana,Esecuzione lavori,4224841.41,2022-09-08,8
