region,complete_cases,actual_mature,expected_mature,actual_share,expected_share,composition_gap
Abruzzo,130,63,66.59448580677132,0.4846153846153846,0.5122652754367024,-0.027649890821317802
Basilicata,61,32,31.58901236705882,0.5245901639344263,0.5178526617550626,0.006737502179363641
Calabria,313,96,140.03737564547774,0.30670926517571884,0.44740375605583943,-0.1406944908801206
Campania,423,194,202.3416978727228,0.458628841607565,0.47834916754780804,-0.019720325940243033
Emilia-Romagna,113,85,69.91460426432569,0.7522123893805309,0.6187133120736786,0.1334990773068523
Friuli-Venezia Giulia,31,24,18.881166560996096,0.7741935483870968,0.6090698890643902,0.16512365932270656
Lazio,207,82,104.23395242842933,0.3961352657004831,0.5035456639054557,-0.10741039820497267
Liguria,46,23,26.193526496567635,0.5,0.5694244890558181,-0.0694244890558181
Lombardia,263,178,144.1616692811404,0.6768060836501901,0.548143229205857,0.12866285444433312
Marche,83,55,45.079981947216375,0.6626506024096386,0.5431323126170647,0.11951828979257384
Molise,45,15,22.32864782932021,0.3333333333333333,0.49619217398489357,-0.16285884065156025
Piemonte,133,88,72.92145585348055,0.6616541353383458,0.5482816229585004,0.11337251237984547
Puglia,239,100,107.9315596980554,0.41841004184100417,0.451596484092282,-0.033186442251277815
Sardegna,78,46,44.26832818342129,0.5897435897435898,0.5675426690182217,0.022200920725368056
Sicilia,279,109,129.23062045981573,0.3906810035842294,0.4631921880280134,-0.07251118444378396
Toscana,112,66,65.32902157190061,0.5892857142857143,0.5832948354633983,0.00599087882231597
Trentino-Alto Adige,36,34,23.43659155038939,0.9444444444444444,0.6510164319552608,0.2934280124891836
Umbria,33,18,18.025128106957336,0.5454545454545454,0.5462160032411314,-0.000761457786585984
Valle d'Aosta,4,3,2.288075021739188,0.75,0.572018755434797,0.17798124456520303
Veneto,149,100,76.21309905420462,0.6711409395973155,0.5114973090886216,0.1596436305086939
