cup,region,maturity,category,amount_eur,award_amount_eur,has_amount,has_award_amount,has_published_at,has_awarded_at,has_cig,has_procedure,has_contract_type,is_direct,is_works,is_framework
B11B21006680006,Toscana,Collaudo non concluso,ASILI NIDO,1675.0,1675.0,1,1,1,1,1,1,1,1,0,0
B11B21006680006,Toscana,Collaudo non concluso,ASILI NIDO,3000.0,3000.0,1,1,1,1,1,1,1,1,0,0
B11B21006680006,Toscana,Collaudo non concluso,ASILI NIDO,47524.6,24970.0,1,1,1,1,1,1,1,1,0,0
B11B21006680006,Toscana,Collaudo non concluso,ASILI NIDO,17447.84,9967.65,1,1,1,1,1,1,1,1,0,0
B11B21006680006,Toscana,Collaudo non concluso,ASILI NIDO,3000.0,0.0,1,1,1,0,1,1,1,1,0,0
B11B21006680006,Toscana,Collaudo non concluso,ASILI NIDO,1448856.56,1158803.97,1,1,1,1,1,1,1,0,1,0
B11B21006680006,Toscana,Collaudo non concluso,ASILI NIDO,5256.16,1121.31,1,1,1,1,1,1,1,1,0,0
B11B21006680006,Toscana,Collaudo non concluso,ASILI NIDO,9868.31,9838.68,1,1,1,1,1,1,1,1,0,0
B11B21006680006,Toscana,Collaudo non concluso,ASILI NIDO,878.4,720.0,1,1,1,1,1,1,1,1,0,0
B11B21006680006,Toscana,Collaudo non concluso,ASILI NIDO,388.95,388.95,1,1,1,0,1,1,1,1,0,0
B11B21006680006,Toscana,Collaudo non concluso,ASILI NIDO,94800.0,94800.0,1,1,1,1,1,1,1,1,1,0
B11B21006680006,Toscana,Collaudo non concluso,ASILI NIDO,10050.0,10050.0,1,1,1,1,1,1,1,1,0,0
B11B21006680006,Toscana,Collaudo non concluso,ASILI NIDO,123156.27,123156.27,1,1,1,1,1,1,1,1,1,0
B11B21006680006,Toscana,Collaudo non concluso,ASILI NIDO,4123.35,4123.35,1,1,1,0,1,1,1,1,0,0
B11B21006680006,Toscana,Collaudo non concluso,ASILI NIDO,6300.0,0.0,1,1,1,0,1,1,1,1,0,0
B11B21006680006,Toscana,Collaudo non concluso,ASILI NIDO,1400.0,0.0,1,1,1,0,1,1,1,1,0,0
B11B22000470006,Campania,Esecuzione lavori,ASILI NIDO,14703.69,9800.0,1,1,1,0,0,1,0,1,0,0
B11B22000470006,Campania,Esecuzione lavori,ASILI NIDO,74614.82,0.0,1,1,1,0,1,1,1,1,0,0
